Circuit: * D:\Anu\DC_DC converter.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0323667 to 0.0323667
Heightened Def Con from 0.0327867 to 0.0327867
Heightened Def Con from 0.0330035 to 0.0330035

Date: Thu Aug 24 21:42:15 2023
Total elapsed time: 15.142 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 5981903
traniter = 5981898
tranpoints = 1574565
accept = 1138196
rejected = 436505
matrix size = 28
fillins = 12
solver = Normal
Matrix Compiler1: 2.22 KB object code size  0.3/0.2/[0.1]
Matrix Compiler2: off  [0.1]/0.2/0.2

